ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
MNE,Montenegro,ECA,More Developed,3,3,4,3,4,8,2,2,3,1
MOZ,Mozambique,SSA,Least Developed,23,23,23,27,12,36,32,25,16,5
MMR,Myanmar,EAP,Least Developed,6,7,5,7,3,14,5,3,3,2
NAM,Namibia,SSA,Less Developed,4,4,5,6,2,8,5,4,2,1
NPL,Nepal,SA,Least Developed,6,7,5,6,5,6,6,8,5,1
NER,Niger,SSA,Least Developed,49,54,45,55,17,65,60,55,43,18
NGA,Nigeria,SSA,Less Developed,28,29,27,39,11,64,36,17,6,3
MKD,North Macedonia,ECA,More Developed,2,1,2,1,2,3,3,1,1,0
PAK,Pakistan,SA,Less Developed,23,27,19,28,12,50,24,14,8,4
PAN,Panama,LAC,Less Developed,1,1,1,1,1,2,2,0,0,0
PRY,Paraguay,LAC,Less Developed,1,1,1,1,0,2,0,0,0,0
PER,Peru,LAC,Less Developed,3,2,3,2,3,3,3,2,2,2
PHL,Philippines,EAP,Less Developed,2,2,3,2,2,4,2,2,1,1
MDA,Republic of Moldova,ECA,More Developed,1,1,1,0,1,1,1,1,1,0
RWA,Rwanda,SSA,Least Developed,6,4,7,6,4,12,6,4,3,3
LCA,Saint Lucia,LAC,Less Developed,0,1,0,0,0,1,0,0,0,0
STP,Sao Tome and Principe,SSA,Least Developed,3,3,4,4,3,5,5,3,3,1
SEN,Senegal,SSA,Least Developed,39,38,40,51,20,56,47,37,31,14
SRB,Serbia,ECA,More Developed,1,0,1,1,0,0,3,0,0,0
SLE,Sierra Leone,SSA,Least Developed,17,15,20,24,8,34,22,14,9,6
ZAF,South Africa,SSA,Less Developed,1,1,1,1,1,2,1,1,1,0
SSD,South Sudan,SSA,Least Developed,72,75,70,78,56,86,84,77,65,44
LKA,Sri Lanka,SA,Less Developed,2,2,2,2,3,2,2,2,3,2
PSE,State of Palestine,MENA,Less Developed,1,1,1,1,1,1,1,1,0,1
SDN,Sudan,SSA,Least Developed,21,21,20,27,6,41,33,15,5,1
SUR,Suriname,LAC,Less Developed,2,2,3,3,2,5,2,1,1,2
TJK,Tajikistan,ECA,Less Developed,2,2,2,2,2,2,2,2,1,2
THA,Thailand,EAP,Less Developed,1,1,1,1,1,1,1,1,2,1
TLS,Timor-Leste,EAP,Least Developed,10,9,10,11,4,18,12,7,5,3
TGO,Togo,SSA,Least Developed,8,9,8,11,3,17,10,4,2,3
TON,Tonga,EAP,Less Developed,4,4,4,4,3,5,3,3,4,3
TTO,Trinidad and Tobago,LAC,Less Developed,1,1,1,1,1,2,1,1,1,0
TUN,Tunisia,MENA,Less Developed,3,3,3,3,3,4,3,3,3,2
TUR,Turkey,ECA,Less Developed,4,3,5,4,4,7,3,3,4,2
TKM,Turkmenistan,ECA,Less Developed,1,2,1,1,1,2,1,1,1,0
UGA,Uganda,SSA,Least Developed,8,8,9,9,6,20,8,5,4,3
UKR,Ukraine,ECA,More Developed,2,2,2,3,1,2,3,2,1,1
TZA,United Republic of Tanzania,SSA,Least Developed,16,14,18,19,7,32,21,12,7,4
URY,Uruguay,LAC,Less Developed,1,1,1,0,1,1,0,0,3,1
VNM,Viet Nam,EAP,Less Developed,2,2,1,2,1,5,1,0,1,1
YEM,Yemen,MENA,Least Developed,23,27,19,27,14,44,24,18,16,9
ZMB,Zambia,SSA,Least Developed,16,13,18,19,9,28,20,15,10,3
ZWE,Zimbabwe,SSA,Less Developed,5,4,5,5,4,8,4,4,4,2
